num	text	author
1	장그래씨, 삶이 뭐라고 생각해요? 거창한 질문같아요? 간단해요. 선택한 순간들을 모아두면 그게 삶이고 인생이 되는거에요. 매순간 어떤 선택을 하느냐 그게 삶의 질을 결정짓는거 아니겠어요?	미생
2	신이 모든 곳에 있을 수 없어서 엄마를 만들었다고 한다. 엄마의 나이가 되어서도 여전히 엄마는 나의 수호신이며, 여전히 엄마는 부르는 것만으로도 가슴이 메이는 이름이다.	응답하라 1988
3	행복은 깊이 느끼고, 단순하게 즐기고, 자유롭게 사고하고, 삶에 도전하고, 남에게 필요한 사람이 되는 능력에서 나온다.	스톰 제임슨
4	인생은 한 권의 책과 같다. 어리석은 이는 그것을 마구 넘겨 버리지만 현명한 이는 열심히 읽는다. 단 한 번 밖에 인생을 읽지 못한다는 것을 알고 있기 때문이다.	상 파울
5	행복해지기는 간단하다. 다만 간단해지기가 어려울 뿐.	에카르트 폰 히르슈하우젠
6	행동의 씨앗을 뿌리면 습관의 열매가 열리고, 습관의 씨앗을 뿌리면 성격의 열매가 열리고, 성격의 씨앗을 뿌리면 운명의 열매가 열린다.	나폴레옹
7	세상 어디에 있어도 슬픈 사람은 슬프고, 외로운 사람은 외로워요.	카모메 식당
8	인간은 입이 하나 귀가 둘이 있다. 이는 말하기보다 듣기를 두 배 더하라는 뜻이다.	채근담
9	당신의 시간은 한정되어 있다. 더 이상 남의 인생을 사느라 시간을 낭비하지 마라. 타인의 견해가 당신 내면의 목소리를 삼키지 못하게 하라. 가장 중요한 것은 가슴과 영감을 따르기 위해 용기를 내는 것이다.	스티브 잡스
10	남을 너그럽게 받아들이는 사람은 항상 사람들의 마음을 얻게 되고 위엄과 무력으로 엄하게 다스리는 사람은 항상 사람들의 노여움을 사게 된다.	세종대왕
11	남을 심판하는 사람은 남을 사랑할 시간이 없다. 	테레사 수녀
12	인생은 그 사람의 생각의 소산이다.	마르크스 아우렐리우스
13	승리하면 조금 배울 수 있고 패배하면 모든 것을 배울 수 있다.	크리스티 매튜슨
14	신념이란 자기가 단순히 갖고 있는 무엇을 뜻하는 것이 아니다. 신념이란 실천하는 무엇이다.	버락 오바마
15	우리는 우주에 흔적을 남기기 위해 여기에 왔다. 그렇지 않다면 왜 우리가 여기에 있겠는가?	스티브 잡스
16	때론 미친척하고 용기를 내 볼 필요도 있어. 진짜 딱 20초만 창피해도 용기를 내는거야. 그럼 장담하는데 멋진 일이 생길거야.	우리는 동물원을 샀다
17	인생이 엄숙할수록 그만큼 유머가 필요하다.	빅토르 위고
18	항상 자신답게 행동하라. 자신을 있는 그대로 표현하고 스스로를 믿으며 성공한 사람의 행동을 모방하려 하지 말라.	이소룡
19	고행은 종종 평범한 자에게 특별한 운명을 준비해준다.	C.S. 루이스
20	그대의 욕망이 끝이 없다면, 그대의 걱정과 두려움 또한 그러할 것이다.	토마스 풀러
21	진정한 사랑은 영원히 자신을 성장시키는 경험이다.	M. 스캇 펙
22	젊음이란, 인생의 어떤 한 시기가 아니라 마음가짐을 말하는 것이다.	사무엘 울만
23	큰 나무는 가느다란 나무에서 시작된다. 10층 탑도 작은 벽돌을 하나씩 쌓아올리는데서 시작된다. 마지막까지 처음처럼 주의를 기울이면 어떤 일도 해낼 수 있다.	노자
24	재물을 스스로 만들지 않는 사람에게는 쓸 권리가 없듯이 행복도 스스로 만들지 않는 사람에게는 누릴 권리가 없다.	조지 버나드 쇼
25	가치있는 것을 하는데 있어서 늦은 때란 없다.	벤자민 버튼의 시간은 거꾸로 간다
26	매일매일 좋을 순 없어. 그런데 잘 찾아보면 매일매일 좋은 일이 있다구.	위니 더 푸
27	길을 아는 것과 길을 걷는 것은 분명히 다르다.	매트릭스
28	새로운 것을 창조해내는 사람들은 드물고 그렇게하지 못하는 사람들은 수없이 많다.	코코샤넬
29	단지, 특별하다고 믿으면 특별해지는거야.	쿵푸팬더
30	세계는 한 권의 책이다. 여행하지 않는 자는 단지 그 책의 한 페이지만 읽을 뿐이다.	성 아우구스티누스
31	불가능한 장애물은 없다. 단지 더 강하고 약한 의지만이 있을 뿐.	쥘베른
32	재능은 긴 인내이자 강력한 관찰과 의지력의 독창성이다.	구스타프 플로버트
33	겁쟁이는 사랑을 드러낼 용기가 없다. 사랑은 용기 있는 자의 특권이다.	마하트마 간디
34	위험한 것에 과감히 뛰어드는 것만이 용기는 아니다. 뛰어들고 싶은 용기를 외면하고 묵묵히 나의 길을 가는 것도 용기다.	미생
35	신경 쓰이면 전화하면 되잖아요. 이상한 고집피우면 소중한 걸 잃어요.	짱구
36	당신이 인생에서 범하는 가장 큰 실수는 실수할지도 모른다는 두려움에 사로잡혀 있는 것이다.	알버트 후버
37	모든 사람은 실수를 해. 그래서 연필 뒤에 지우개가 있는거라고.	심슨가족
38	좋은 일을 생각하면 좋은 일이 생긴다. 나쁜 일을 생각하면 나쁜 일이 생긴다. 당신은 당신이 하루종일 생각하고 있는 것 바로 그것이다.	조셉 머피
